"","WT.Mock.1","WT.Mock.2","WT.Mock.3","WT.IAV.1","WT.IAV.2","WT.IAV.3","KO.Mock.1","KO.Mock.2","KO.Mock.3","KO.IAV.1","KO.IAV.2","KO.IAV.3"
"TC17000551.hg.1",6.92379404018499,6.820540996791,6.87567804298171,6.82076637728957,6.90150840009785,6.83603240165627,7.16900485081251,7.10712294338715,7.22214851900436,7.28732887961747,7.16344536505723,7.10716361810479
"TC05001364.hg.1",5.37254767145352,5.59860490341892,5.40759828945994,5.53102379926898,5.32403167865932,5.38413316994693,5.72506069810427,5.8754518184697,5.49714150834752,5.94629015277563,5.75968887018199,5.7492653855773
"TC14002028.hg.1",6.15104690365179,6.32183733538259,6.39839307270057,5.97548472409601,5.9477489172842,6.44401125530338,6.64491890947649,6.48917863912345,7.04906938893989,6.65480606999864,6.67108262546886,6.33987374230303
"TC02001664.hg.1",8.61916612522178,8.58518229622585,8.6695177251619,8.08283125165499,8.11225715519532,8.18952617915738,7.86798861164373,7.83335925495388,7.86507016220493,7.52493594483372,7.63347463972441,7.57482169694556
"TC19_gl000209_random000008.hg.1",6.60361533979429,6.64375791088827,6.51999293088166,6.72085869962768,6.75715955663356,6.36104918938867,6.41104055976446,6.61945008920281,6.30978887334308,6.33085609107271,6.31887079902914,6.49889981251977
"TC19002660.hg.1",5.20931973023143,5.18728226161185,5.08261601746511,5.21152183270079,5.23849714450743,5.01260815892277,4.93639774492147,5.06260569969233,4.8950243967561,4.90221234772935,4.91410471688743,5.08903512593061
"TC12003272.hg.1",3.77033821082038,3.99617468311038,3.8194092419756,4.05806363596465,3.97223932676539,3.84977547403732,4.60286971142505,4.3174352674271,4.56181824048922,4.34301602361267,4.63999149973053,4.2099209512067
"TC12003271.hg.1",4.04958971883696,4.00317741239698,3.87622360282135,3.98656088486933,4.11097321391605,3.79972485615986,4.7056147483377,4.39848272888894,4.74211312301974,4.49382115918521,4.57259009354803,4.27071958903935
"TC10000659.hg.1",8.87370114153909,9.14491796945152,9.14372110281705,8.63982961589387,8.59732242132121,9.07751713442131,9.21219389108184,9.04145989303611,9.50238566209028,9.12831478815625,9.08325207733976,9.04814467598662
"TC03003052.hg.1",8.35602658285175,8.34486707283637,8.48359549253765,8.48254357310482,8.48698482870588,8.73559898460888,8.46218072629318,8.39088459494706,8.66374750588889,8.75733970239165,8.70034869295974,8.54325580634182
"TC03003184.hg.1",6.78208603587915,6.60214457775283,6.63009320944855,6.3226076985858,6.4406172188268,6.63422898439826,6.45401655237492,6.2874723828903,6.95124891164886,6.27189547182498,6.5473281935465,6.28409899066387
"TC05000340.hg.1",10.1470009421179,10.1910905671688,10.2010772307979,9.83088202820971,9.71183633951592,9.97813170179294,9.99017956948679,9.94356876997555,10.1763375090284,9.85238051996595,9.81704432549077,9.77525040376139
"TC12001314.hg.1",7.7523367429788,7.66463651835701,7.7760301137983,7.64713750207343,7.60445582782546,7.83221389538211,8.26874435076321,8.15789009919927,8.45086765866244,8.24803322343046,7.97208183124522,8.02226870763229
"TC12001536.hg.1",6.87154695159429,7.05094088366561,6.94593653526981,7.13268112712077,7.02651003257903,6.89905258297121,7.3943205866186,7.29722692922083,7.24736043746099,7.13560816784466,7.17657908961712,7.21829861635096
"TC12001539.hg.1",10.7632050150444,10.7219711809308,10.7720380833521,10.7118931188404,10.8568250063933,10.963634003736,11.3444497090737,11.3097282299702,11.4944319417685,11.5442357759836,11.5916710851334,11.4708256412985
"TC21000531.hg.1",6.95150022689707,7.02123267050275,7.00538911737629,7.11809411271771,7.06068804416473,6.91305624113268,7.01810972692431,7.15103266052653,6.72077427125867,6.76801770846134,6.65118654515032,7.10785266219799
"TC21000233.hg.1",7.36902994911319,7.35063563417166,7.21415825700022,7.46322918257773,7.46756512937383,7.07977699910462,7.05528964735306,7.3284190666073,6.87788664186145,7.15888298686024,6.92644009591987,7.22121819914249
"TC21000527.hg.1",7.65893114840402,7.52848652867914,7.47924526649449,7.64801544513972,7.61404362508685,7.2509507228979,7.27314573383529,7.49192874474219,7.24353939297584,7.36163921954615,7.24599585750123,7.55192647999585
"TC21000528.hg.1",7.22014549195065,7.25011015227007,7.1335354145958,7.44316538531158,7.31417055509632,6.97311943915768,7.01807257605978,7.29369237086362,6.93312226846947,7.09554256259188,6.85698159744572,7.17641543270059
"TC21001035.hg.1",6.50751162751846,6.37179756336717,6.31454354563957,6.35363817876369,6.40702371408393,6.15095456366862,6.27906867066157,6.44839506712674,5.77629205220639,5.99321677157365,5.94030975666222,6.1290203322719
"TC21000232.hg.1",7.43243013068528,7.70901503339916,7.55764150167277,7.79080871647,7.66491299190931,7.45948678201527,7.20264122872551,7.6528614788755,7.53712759586406,7.2847178824802,7.29421838356241,7.46507223554561
"TC21000529.hg.1",7.59045623771465,7.45671613815496,7.45541398334128,7.72898605661255,7.63009229738061,7.23163861037817,7.42337608411752,7.3737552855727,6.91818729390168,7.35201041566963,7.24559321658453,7.51945769611234
"TC21000236.hg.1",7.56920808051281,7.67640206521746,7.51100872494359,7.63762457360624,7.57238809446773,7.31765169241198,7.51808264779174,7.54841007467405,7.26812765375575,7.28682472062306,7.23646046088684,7.50541376483347
"TC21000532.hg.1",7.02523999586975,7.14457575832933,6.97104730862634,7.30999082871018,7.12866863994343,6.80311663699163,6.80409418935149,6.97059378149899,6.63962771220339,6.58875444784818,6.74614328980236,6.92187566948097
"TC06001378.hg.1",7.27032195626457,7.34197303553334,7.33338209183297,6.89820304043531,6.96553055023307,7.08413470846022,7.58185330289691,7.69755839377594,7.86568229842743,7.5134634098217,7.55024409697753,7.30257044674198
"TC06002125.hg.1",5.63987589705346,5.59308963448234,5.61493063689265,5.67594623263424,5.74557643087108,5.38843477395443,5.28170888873273,5.43398308290975,5.14200651251266,5.25901209598964,5.37640650334758,5.39371067596371
"TC06000966.hg.1",7.0719026183181,7.03391427244411,7.13805093600952,6.65678436849867,6.60832549515291,6.75926123467031,6.90482493050668,6.71532725080547,7.15183826420442,6.83474026574818,6.83671990185411,6.78236065745334
"TC07002248.hg.1",6.22457193393355,5.94603754698016,6.08102110828311,6.30079587223717,6.00730612186578,5.78001451845304,5.88409533387844,6.06735092007048,5.38390544186415,5.46163614019517,5.73725431433547,5.96421467644404
"TC11001261.hg.1",7.14639823334173,7.18632170182973,6.98497153876879,7.32131007227378,7.1692603642763,6.8514257141622,6.92305623048069,7.0190559273831,6.75476276451917,6.83889284966395,6.84278704570897,7.09320141020811
